Relationship,Tooltip
navigate_before,Click to go back
navigate_next,Click to go forward
(*) 11613527,11613527
listedsecurity,2745
security,2745
inventorycurrent,26594
accountspayableandaccruedliabilities,32183
elementsoffinancialreport,8120091
liability,48002
asset,48016
person,50102
revenue,42474
comprehensiveincome,0
financialreport,48301
phonenumber,80073
financialserviceaccount,97270
address,210062
longtermdebt,20315
loss,14198
emailaddress,50000
elementoffinancialstatement,443794
distributiontoowner,48325
cashandcashequivalents,45671
autonomousagent,52424
disclosure,208158
holdings,534473
country,249
expense,38757
industrysectorclassifier,452
virtualaddress,130073
securitiestransaction,500000
financialinstrument,2745
corporation,2324
contract,2998
equity,43780
debt,5325
goodwill,34290
stockholdersequity,43780
industrysectorclassificationscheme,1
monetaryamount,502745
financialmarket,3
postaladdress,79989
(*) 39581653,39581653
is_defined_by,904
has_accountspayable_and_accruedliabilities,64366
has_phone_number,160146
has_liability,96004
is_index_to,420124
has_citizenship,100202
is_provided_by,53791
has_last_traded_value,5490
is_held_by,1068946
has_debt,10650
is_member_of,30255944
has_equity,87560
is_classified_by,4648
is_traded_on,5490
has_price,1000000
has_email_address,100000
has_goodwill,68580
has_loss,28396
is_managed_by,200536
has_country,159978
has_listed_security,1005490
has_longterm_debt,40630
has,548642
has_virtual_address,260146
has_distribution_to_owner,96650
is_domiciled_in,4648
has_security,5490
has_cash_and_cashequivalents,91342
has_position,5996
has_asset,96032
has_stockholders_equity,87560
has_place_of_birth,100000
has_postal_address,159978
has_expense,77514
has_inventory_current,53188
has_revenue,84948
is_refers_to,1068946
is_owned_by,194540
is_facilitated_by,1500000
elements_of_financial_report,208158
clear,Clear Graph
